group	CellType	NEURONAL/NON-NEURONAL
108_Pvalb	Pvalb	GABAergic Neuron
229_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
26_Ntng1 HPF	Ntng1 HPF	GABAergic Neuron
67_Sst	Sst	GABAergic Neuron
6_Lamp5 Lhx6	Lamp5 Lhx6	GABAergic Neuron
111_Pvalb	Pvalb	GABAergic Neuron
359_CA2-IG-FC	CA2-IG-FC	Glutamatergic Neuron
238_Car3	Car3	Glutamatergic Neuron
347_CA1-do	CA1-do	Glutamatergic Neuron
219_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
30_Ntng1 HPF	Ntng1 HPF	GABAergic Neuron
174_IT HATA	IT HATA	Glutamatergic Neuron
227_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
374_Oligo	Oligo	Non-Neuronal
102_Sst HPF	Sst HPF	GABAergic Neuron
117_Pvalb	Pvalb	GABAergic Neuron
123_Pvalb Vipr2	Pvalb Vipr2	GABAergic Neuron
351_CA3-ve	CA3-ve	Glutamatergic Neuron
66_Sst	Sst	GABAergic Neuron
223_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
28_Ntng1 HPF	Ntng1 HPF	GABAergic Neuron
13_Lamp5	Lamp5	GABAergic Neuron
86_Sst	Sst	GABAergic Neuron
202_L5 IT CTX	L5 IT CTX	Glutamatergic Neuron
303_L6b CTX	L6b CTX	Glutamatergic Neuron
218_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
145_L2/3 IT PAR	L2/3 IT PAR	Glutamatergic Neuron
279_L6 CT CTX	L6 CT CTX	Glutamatergic Neuron
354_CA3-ve	CA3-ve	Glutamatergic Neuron
228_L6 IT CTX	L6 IT CTX	Glutamatergic Neuron
262_L4 RSP-ACA	L4 RSP-ACA	Glutamatergic Neuron
211_L5/6 IT TPE-ENT	L5/6 IT TPE-ENT	Glutamatergic Neuron
253_L5 PT CTX	L5 PT CTX	Glutamatergic Neuron
32_Sncg	Sncg	GABAergic Neuron
271_NP SUB	NP SUB	Glutamatergic Neuron
59_Vip Igfbp6	Vip Igfbp6	GABAergic Neuron
75_Sst	Sst	GABAergic Neuron
344_CA1	CA1	Glutamatergic Neuron
62_Vip Igfbp6	Vip Igfbp6	GABAergic Neuron
372_Oligo	Oligo	Non-Neuronal
118_Pvalb	Pvalb	GABAergic Neuron
137_L3 IT ENTm	L3 IT ENTm	Glutamatergic Neuron
