Factor	Age	Genotype	SampleName	Fastq_file
H3K27ac	7wk	MECP2KO	7wk_CTX_MECP2KO_H3K27ac_CNR_HS031219_N031419:	HS031219-MECP2KO-01*fastq.gz
Hdac3	7wk	MECP2KO	7wk_CTX_MECP2KO_Hdac3_CNR_HS031219_N031419:	HS031219-MECP2KO-04*fastq.gz
IgG	7wk	MECP2KO	7wk_CTX_MECP2KO_IgG_CNR_HS031219_N031419:	HS031219-MECP2KO-02*fastq.gz
Mecp2	7wk	MECP2KO	7wk_CTX_MECP2KO_Mecp2_CNR_HS031219_N031419:	HS031219-MECP2KO-07*fastq.gz
Ncor	7wk	MECP2KO	7wk_CTX_MECP2KO_Ncor_CNR_HS031219_N031419:	HS031219-MECP2KO-03*fastq.gz
Tbl1	7wk	MECP2KO	7wk_CTX_MECP2KO_Tbl1_CNR_HS031219_N031419:	HS031219-MECP2KO-05*fastq.gz
H3K27ac	7wk	MECP2WT	7wk_CTX_MECP2WT_H3K27ac_CNR_HS031219_N031419:	HS031219-MECP2WT-01*fastq.gz
Hdac3	7wk	MECP2WT	7wk_CTX_MECP2WT_Hdac3_CNR_HS031219_N031419:	HS031219-MECP2WT-04*fastq.gz
IgG	7wk	MECP2WT	7wk_CTX_MECP2WT_IgG_CNR_HS031219_N031419:	HS031219-MECP2WT-02*fastq.gz
Mecp2	7wk	MECP2WT	7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419:	HS031219-MECP2WT-07*fastq.gz
Ncor	7wk	MECP2WT	7wk_CTX_MECP2WT_Ncor_CNR_HS031219_N031419:	HS031219-MECP2WT-03*fastq.gz
Tbl1	7wk	MECP2WT	7wk_CTX_MECP2WT_Tbl1_CNR_HS031219_N031419:	HS031219-MECP2WT-05*fastq.gz
H3K27ac	9wk	MECP2KO	9wk_CTX_MECP2KO_H3K27ac_CNR_HS032519_N032619:	YT032519-02*fastq.gz
Hdac3	9wk	MECP2KO	9wk_CTX_MECP2KO_Hdac3_CNR_HS032519_N032619:	YT032519-08*fastq.gz
IgG	9wk	MECP2KO	9wk_CTX_MECP2KO_IgG_CNR_HS032519_N032619:	YT032519-04*fastq.gz
Mecp2	9wk	MECP2KO	9wk_CTX_MECP2KO_Mecp2_CNR_HS032519_N032619:	YT032519-12*fastq.gz
Ncor	9wk	MECP2KO	9wk_CTX_MECP2KO_Ncor_CNR_HS032519_N032619:	YT032519-06*fastq.gz
