2024-04-02 16:37:24.775840	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fea2ae398-47d3-468c-9395-3505d9d6e2dd%2F&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR527EUE/	ENCSR527EUE	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-mouse/	H3K4me3	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl forebrain tissue embryo (12.5 days)	forebrain	GEO:GSE82761,SCREEN-mm10:C57BL/6_forebrain_embryo_12.5_days	H3K4me3 ChIP-seq on embryonic 12.5 day mouse forebrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF470QWO/,/files/ENCFF232IYQ/,/files/ENCFF300AEF/,/files/ENCFF123XZJ/,/files/ENCFF155YKY/,/files/ENCFF690BEX/,/files/ENCFF842AGU/,/files/ENCFF711VRL/,/files/ENCFF359XON/,/files/ENCFF160KSU/,/files/ENCFF818WAT/,/files/ENCFF511DOK/,/files/ENCFF687HPG/,/files/ENCFF627KTP/,/files/ENCFF174DOR/,/files/ENCFF811TEJ/,/files/ENCFF400XCT/,/files/ENCFF131ZHV/,/files/ENCFF572GDM/,/files/ENCFF676ASY/,/files/ENCFF592VBX/,/files/ENCFF471MKR/,/files/ENCFF432EDI/,/files/ENCFF021ZYB/,/files/ENCFF105HUC/,/files/ENCFF246NLX/,/files/ENCFF064NVM/,/files/ENCFF163KWJ/,/files/ENCFF542LAL/,/files/ENCFF214VOI/,/files/ENCFF339WTB/,/files/ENCFF944VFE/,/files/ENCFF396LWK/,/files/ENCFF178JLS/,/files/ENCFF909OUL/,/files/ENCFF378EDX/,/files/ENCFF543FCN/,/files/ENCFF291NIJ/,/files/ENCFF578NPR/,/files/ENCFF698PYD/,/files/ENCFF795CNF/,/files/ENCFF205OVL/,/files/ENCFF859ONC/,/files/ENCFF804DUE/,/files/ENCFF738FKS/,/files/ENCFF585ZEJ/,/files/ENCFF698XIV/,/files/ENCFF576VRV/,/files/ENCFF673PHX/,/files/ENCFF758NUO/,/files/ENCFF682AQB/,/files/ENCFF533DOI/,/files/ENCFF828PDA/,/files/ENCFF772TTQ/	/reference-epigenomes/ENCSR296YDZ/,/organism-development-series/ENCSR155ZWW/	ENCBS617DPG,ENCBS974GPH	2,1	1	ENCAB610CEF	Mus musculus	embryonic	12.5 days												/replicates/5635bb43-0207-49b1-8a8c-ef713394ad33/,/replicates/e39d08a0-27ae-4abf-9b6d-ab1ba81c9fa8/				
/experiments/ENCSR345DDI/	ENCSR345DDI	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K36me3-mouse/	H3K36me3	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl forebrain tissue embryo (12.5 days)	forebrain	GEO:GSE82623	H3K36me3 ChIP-seq on embryonic 12.5 day mouse forebrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF181ZNR/,/files/ENCFF361FYH/,/files/ENCFF096KAU/,/files/ENCFF149CKY/,/files/ENCFF880MLB/,/files/ENCFF046STV/,/files/ENCFF859MOD/,/files/ENCFF735SBX/,/files/ENCFF864GAG/,/files/ENCFF859GHL/,/files/ENCFF642LRR/,/files/ENCFF014DRS/,/files/ENCFF532BGL/,/files/ENCFF226PRC/,/files/ENCFF508RJO/,/files/ENCFF060MUA/,/files/ENCFF286XDZ/,/files/ENCFF203LHF/,/files/ENCFF633CNX/,/files/ENCFF713DPW/,/files/ENCFF707VAK/,/files/ENCFF736TSN/,/files/ENCFF592DSG/,/files/ENCFF315JHY/,/files/ENCFF669XPI/,/files/ENCFF931GHW/,/files/ENCFF511AHG/,/files/ENCFF849XWH/,/files/ENCFF885EXB/,/files/ENCFF455QFV/,/files/ENCFF125GCI/,/files/ENCFF146RBL/,/files/ENCFF866LIT/,/files/ENCFF492UIS/,/files/ENCFF701NCZ/,/files/ENCFF744VBB/,/files/ENCFF282QLG/,/files/ENCFF275DJG/,/files/ENCFF097DWM/,/files/ENCFF332QCP/,/files/ENCFF741YNB/,/files/ENCFF724MTR/,/files/ENCFF615ZTO/,/files/ENCFF559KAA/,/files/ENCFF039CRM/,/files/ENCFF868GQS/,/files/ENCFF783TDW/,/files/ENCFF382KIS/,/files/ENCFF135KPW/,/files/ENCFF975CTX/,/files/ENCFF436MCG/,/files/ENCFF911GRW/,/files/ENCFF492SIJ/,/files/ENCFF949MSM/,/files/ENCFF230TLN/	/reference-epigenomes/ENCSR296YDZ/,/organism-development-series/ENCSR567PSX/	ENCBS617DPG,ENCBS974GPH	2,1	1,2	ENCAB910BYC	Mus musculus	embryonic	12.5 days												/replicates/f07b1a08-c17b-45a8-993f-9e18ce37e78b/,/replicates/bb6b403c-6f60-4f5b-a205-300dba3fb566/,/replicates/74eb50e4-0ab5-4ded-8fef-9dfd027319fb/				
/experiments/ENCSR784TLR/	ENCSR784TLR	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-mouse/	H3K27ac	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl hindbrain tissue embryo (12.5 days)	hindbrain	SCREEN-mm10:C57BL/6_hindbrain_embryo_12.5_days,GEO:GSE82944	H3K27ac ChIP-seq on embryonic 12.5 day mouse hindbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF105EAY/,/files/ENCFF693VGJ/,/files/ENCFF694RET/,/files/ENCFF922YBB/,/files/ENCFF969ECA/,/files/ENCFF370JZW/,/files/ENCFF270SCE/,/files/ENCFF885QFL/,/files/ENCFF890XKX/,/files/ENCFF572MCE/,/files/ENCFF829KHB/,/files/ENCFF821XNC/,/files/ENCFF350WPR/,/files/ENCFF256OWJ/,/files/ENCFF427HFT/,/files/ENCFF441VLH/,/files/ENCFF733TXT/,/files/ENCFF790MRF/,/files/ENCFF109IBN/,/files/ENCFF395DIX/,/files/ENCFF903PGV/,/files/ENCFF322HXD/,/files/ENCFF515XTW/,/files/ENCFF564OIR/,/files/ENCFF267BVS/,/files/ENCFF027GKK/,/files/ENCFF901TVY/,/files/ENCFF729QQT/,/files/ENCFF699RWJ/,/files/ENCFF331OVK/,/files/ENCFF428GBA/,/files/ENCFF056NXG/,/files/ENCFF842SJV/,/files/ENCFF631JYQ/,/files/ENCFF409CQX/,/files/ENCFF869OFE/,/files/ENCFF289ZHZ/,/files/ENCFF608TXQ/,/files/ENCFF955MFI/,/files/ENCFF743SXC/,/files/ENCFF301RTM/,/files/ENCFF175SBT/,/files/ENCFF732JHL/,/files/ENCFF002LDA/,/files/ENCFF054BNA/,/files/ENCFF332MQY/,/files/ENCFF214HNJ/,/files/ENCFF795FUE/,/files/ENCFF799DRJ/,/files/ENCFF333XRC/,/files/ENCFF035AGS/,/files/ENCFF114OYI/,/files/ENCFF388QJG/,/files/ENCFF241IMZ/	/reference-epigenomes/ENCSR605BEG/,/organism-development-series/ENCSR709SRY/	ENCBS022IBY,ENCBS406RIE	2,1	1	ENCAB943WPC	Mus musculus	embryonic	12.5 days												/replicates/119cc734-c4be-45d4-985d-a83e5d61d9c2/,/replicates/743a8b9f-3b50-4f42-92c8-18485e5b03e8/				
/experiments/ENCSR634GFJ/	ENCSR634GFJ	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-mouse/	H3K9me3	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl forebrain tissue embryo (12.5 days)	forebrain	GEO:GSE82835	H3K9me3 ChIP-seq on embryonic 12.5 day mouse forebrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF433HZI/,/files/ENCFF206AIB/,/files/ENCFF978JBO/,/files/ENCFF374YGB/,/files/ENCFF025SEU/,/files/ENCFF554SYT/,/files/ENCFF759QLN/,/files/ENCFF444FOY/,/files/ENCFF614YCH/,/files/ENCFF088DPE/,/files/ENCFF412UYK/,/files/ENCFF725CNM/,/files/ENCFF819WAI/,/files/ENCFF267QTU/,/files/ENCFF161EYV/,/files/ENCFF033VFC/,/files/ENCFF431DPT/,/files/ENCFF719KUB/,/files/ENCFF686LVZ/,/files/ENCFF481LKT/,/files/ENCFF594AGF/,/files/ENCFF731PUV/,/files/ENCFF656QWK/,/files/ENCFF987BVJ/,/files/ENCFF390VRT/,/files/ENCFF025QXD/,/files/ENCFF933YDE/,/files/ENCFF545UDM/,/files/ENCFF301RYI/,/files/ENCFF528FDH/,/files/ENCFF117DWG/,/files/ENCFF187THK/,/files/ENCFF259IGK/,/files/ENCFF207AWO/,/files/ENCFF476TXC/,/files/ENCFF137LNV/,/files/ENCFF429IUY/,/files/ENCFF558ZRH/,/files/ENCFF781HQM/,/files/ENCFF008KQL/,/files/ENCFF253QZH/,/files/ENCFF557AZC/,/files/ENCFF364PRA/,/files/ENCFF218WLW/,/files/ENCFF836BYO/,/files/ENCFF056FOF/,/files/ENCFF321DWN/,/files/ENCFF712VKW/,/files/ENCFF196JAC/,/files/ENCFF846GVE/,/files/ENCFF754UBA/,/files/ENCFF397JAC/,/files/ENCFF568RWK/,/files/ENCFF937FBK/	/reference-epigenomes/ENCSR296YDZ/,/organism-development-series/ENCSR943UEF/	ENCBS617DPG,ENCBS974GPH	2,1	1	ENCAB929ZIJ	Mus musculus	embryonic	12.5 days												/replicates/da75b00f-49fd-433d-a00f-4aa135124666/,/replicates/04cd89b6-939d-416c-aea5-12b50fae3b30/				
/experiments/ENCSR984OHL/	ENCSR984OHL	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-mouse/	H3K27me3	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl hindbrain tissue embryo (10.5 days)	hindbrain	GEO:GSE86777	H3K27me3 ChIP-seq on embryonic 10.5 day mouse hindbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF332VAG/,/files/ENCFF821JEP/,/files/ENCFF686BRF/,/files/ENCFF066BLW/,/files/ENCFF966EIE/,/files/ENCFF567WAI/,/files/ENCFF179RSO/,/files/ENCFF822BEG/,/files/ENCFF553SUK/,/files/ENCFF545HRL/,/files/ENCFF162YVJ/,/files/ENCFF558TTY/,/files/ENCFF568ESH/,/files/ENCFF207FZP/,/files/ENCFF089ISN/,/files/ENCFF680KST/,/files/ENCFF445MCH/,/files/ENCFF706MGI/,/files/ENCFF782EKM/,/files/ENCFF034IJG/,/files/ENCFF898VDV/,/files/ENCFF475JXJ/,/files/ENCFF889QDX/,/files/ENCFF795SLU/,/files/ENCFF369FIZ/,/files/ENCFF430PIA/,/files/ENCFF124SNT/,/files/ENCFF586WCY/,/files/ENCFF852MFT/,/files/ENCFF123ZQA/,/files/ENCFF482QYO/,/files/ENCFF560MOS/,/files/ENCFF443TNH/,/files/ENCFF513WCB/,/files/ENCFF924UUM/,/files/ENCFF176GYL/,/files/ENCFF192SWB/,/files/ENCFF290WZK/,/files/ENCFF982WUO/,/files/ENCFF795PZV/,/files/ENCFF767HDW/	/reference-epigenomes/ENCSR050BJO/,/organism-development-series/ENCSR720XEH/	ENCBS723QMZ,ENCBS626UIA	2,1	1,2,3	ENCAB723WFC	Mus musculus	embryonic	10.5 days												/replicates/ce0776a9-c82e-43c9-b730-2fb0bdd085ca/,/replicates/1a96ca16-6674-48c4-85c6-6ba4150df862/,/replicates/7354398d-8d86-4718-8dd9-88ebffcd0f26/,/replicates/67be84d2-2ff1-430b-996a-586b0fed76a7/,/replicates/db32fe51-8824-4a78-9936-d6caf3fa010c/				
/experiments/ENCSR966AIB/	ENCSR966AIB	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-mouse/	H3K27ac	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl forebrain tissue embryo (12.5 days)	forebrain	GEO:GSE83054,SCREEN-mm10:C57BL/6_forebrain_embryo_12.5_days	H3K27ac ChIP-seq on embryonic 12.5 day mouse forebrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF144QAH/,/files/ENCFF468OSP/,/files/ENCFF958YCB/,/files/ENCFF817HZB/,/files/ENCFF878QMQ/,/files/ENCFF321EBA/,/files/ENCFF725LCQ/,/files/ENCFF522XGR/,/files/ENCFF945ZTP/,/files/ENCFF189GHO/,/files/ENCFF242JZF/,/files/ENCFF909GHT/,/files/ENCFF955JYB/,/files/ENCFF794MUZ/,/files/ENCFF258PFG/,/files/ENCFF770UND/,/files/ENCFF579APR/,/files/ENCFF099XCX/,/files/ENCFF094CEC/,/files/ENCFF374ZLW/,/files/ENCFF913ZAZ/,/files/ENCFF708TFR/,/files/ENCFF305VDZ/,/files/ENCFF226MPJ/,/files/ENCFF865FBN/,/files/ENCFF969WDZ/,/files/ENCFF287EBJ/,/files/ENCFF367ONL/,/files/ENCFF276VQS/,/files/ENCFF146ODY/,/files/ENCFF147IYI/,/files/ENCFF064YFS/,/files/ENCFF987KCM/,/files/ENCFF541IJI/,/files/ENCFF627DHT/,/files/ENCFF957YEE/,/files/ENCFF667GBW/,/files/ENCFF595FEC/,/files/ENCFF078BYT/,/files/ENCFF539MQF/,/files/ENCFF116JEC/,/files/ENCFF024VSM/,/files/ENCFF047AGT/,/files/ENCFF317RRT/,/files/ENCFF955FOQ/,/files/ENCFF737HUR/,/files/ENCFF687FQF/,/files/ENCFF304WLX/,/files/ENCFF549YDI/,/files/ENCFF291NOI/,/files/ENCFF795RUE/,/files/ENCFF966QFZ/,/files/ENCFF057EIG/,/files/ENCFF639SHW/	/reference-epigenomes/ENCSR296YDZ/,/organism-development-series/ENCSR465WWW/	ENCBS617DPG,ENCBS974GPH	2,1	1	ENCAB943WPC	Mus musculus	embryonic	12.5 days												/replicates/341c4563-7fda-4aad-a635-41499f349c01/,/replicates/4fef86ec-2466-4e25-a959-de269312c2d6/				
/experiments/ENCSR608QBO/	ENCSR608QBO	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me1-mouse/	H3K4me1	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl hindbrain tissue embryo (10.5 days)	hindbrain	GEO:GSE86728	H3K4me1 ChIP-seq on embryonic 10.5 day mouse hindbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF277EWJ/,/files/ENCFF803LSX/,/files/ENCFF707AGS/,/files/ENCFF609DJW/,/files/ENCFF416MSB/,/files/ENCFF170VVI/,/files/ENCFF182VGX/,/files/ENCFF485GZX/,/files/ENCFF598SEJ/,/files/ENCFF968GGT/,/files/ENCFF724CUB/,/files/ENCFF871UHT/,/files/ENCFF950CJW/,/files/ENCFF762KHE/,/files/ENCFF888CSF/,/files/ENCFF381PET/,/files/ENCFF536YCP/,/files/ENCFF945SSM/,/files/ENCFF894YHQ/,/files/ENCFF570EEN/,/files/ENCFF315URY/,/files/ENCFF034VML/,/files/ENCFF880UWC/,/files/ENCFF507CXR/,/files/ENCFF110IPO/,/files/ENCFF181JDA/,/files/ENCFF545NDS/,/files/ENCFF024WUZ/,/files/ENCFF524OPL/,/files/ENCFF987HOU/,/files/ENCFF232OIB/,/files/ENCFF169IIE/,/files/ENCFF105VCR/,/files/ENCFF434AJB/,/files/ENCFF295GNC/,/files/ENCFF618NMN/,/files/ENCFF769MGA/,/files/ENCFF442EJY/	/reference-epigenomes/ENCSR050BJO/,/organism-development-series/ENCSR345BDD/	ENCBS723QMZ,ENCBS626UIA	2,1	1	ENCAB027VOE	Mus musculus	embryonic	10.5 days												/replicates/b9f4a0eb-b6d4-47d7-8d8e-75fa0c4f3360/,/replicates/2d0ed0ba-7b20-4c55-b23f-d8b93c44b00c/				
/experiments/ENCSR594JGI/	ENCSR594JGI	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-mouse/	H3K27ac	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl hindbrain tissue embryo (10.5 days)	hindbrain	SCREEN-mm10:C57BL/6_hindbrain_embryo_10.5_days,GEO:GSE86725	H3K27ac ChIP-seq on embryonic 10.5 day mouse hindbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF334SSJ/,/files/ENCFF910GVN/,/files/ENCFF138YRJ/,/files/ENCFF753QAH/,/files/ENCFF135OCE/,/files/ENCFF721KJH/,/files/ENCFF647HJY/,/files/ENCFF710PTH/,/files/ENCFF345DEG/,/files/ENCFF282UPD/,/files/ENCFF137UEZ/,/files/ENCFF638MAO/,/files/ENCFF194LJL/,/files/ENCFF032UDH/,/files/ENCFF352FWC/,/files/ENCFF207KAE/,/files/ENCFF120WDY/,/files/ENCFF751ZHP/,/files/ENCFF782RAO/,/files/ENCFF510MLG/,/files/ENCFF240EAT/,/files/ENCFF639WFI/,/files/ENCFF203MOE/,/files/ENCFF567PMM/,/files/ENCFF717JSF/,/files/ENCFF484XIN/,/files/ENCFF720PMC/,/files/ENCFF979CHR/,/files/ENCFF309ACI/,/files/ENCFF002XJG/,/files/ENCFF945RZI/,/files/ENCFF083TKP/,/files/ENCFF062DLU/,/files/ENCFF869WEC/,/files/ENCFF517ZAB/,/files/ENCFF300TRP/,/files/ENCFF588ZYJ/,/files/ENCFF339GJJ/	/reference-epigenomes/ENCSR050BJO/,/organism-development-series/ENCSR709SRY/	ENCBS626UIA,ENCBS723QMZ	1,2	1	ENCAB088TFM	Mus musculus	embryonic	10.5 days												/replicates/c32caf34-a518-4cd1-943a-7a2634a8ee63/,/replicates/fca1a6cc-122c-46a8-b436-7734ce5eceae/				
/experiments/ENCSR158ONM/	ENCSR158ONM	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-mouse/	H3K4me3	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl hindbrain tissue embryo (12.5 days)	hindbrain	SCREEN-mm10:C57BL/6_hindbrain_embryo_12.5_days,GEO:GSE82475	H3K4me3 ChIP-seq on embryonic 12.5 day mouse hindbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF189ORD/,/files/ENCFF123VKP/,/files/ENCFF270CVT/,/files/ENCFF429AKJ/,/files/ENCFF443PNZ/,/files/ENCFF397HWB/,/files/ENCFF676XYR/,/files/ENCFF168ITD/,/files/ENCFF131SVO/,/files/ENCFF286LHG/,/files/ENCFF332BZI/,/files/ENCFF025FKJ/,/files/ENCFF169CWY/,/files/ENCFF957MTM/,/files/ENCFF542DBM/,/files/ENCFF218EVK/,/files/ENCFF172VJZ/,/files/ENCFF299EDT/,/files/ENCFF110ZXL/,/files/ENCFF080TKR/,/files/ENCFF149QEZ/,/files/ENCFF173HJD/,/files/ENCFF356HZC/,/files/ENCFF616ZNQ/,/files/ENCFF596KDH/,/files/ENCFF323YNY/,/files/ENCFF138AAX/,/files/ENCFF771FIA/,/files/ENCFF207VOH/,/files/ENCFF557HHF/,/files/ENCFF762SEF/,/files/ENCFF198VVY/,/files/ENCFF009VJN/,/files/ENCFF493WPM/,/files/ENCFF577GBD/,/files/ENCFF291LWL/,/files/ENCFF988YTQ/,/files/ENCFF844SJL/,/files/ENCFF116ARV/,/files/ENCFF901XAT/,/files/ENCFF404AIU/,/files/ENCFF171AHY/,/files/ENCFF454SJC/,/files/ENCFF985QXX/,/files/ENCFF539ALK/,/files/ENCFF650QNY/,/files/ENCFF063OPN/,/files/ENCFF344PSC/,/files/ENCFF100YLJ/,/files/ENCFF509QUO/,/files/ENCFF935ZMM/,/files/ENCFF058LMK/,/files/ENCFF878VGH/,/files/ENCFF114XLA/	/reference-epigenomes/ENCSR605BEG/,/organism-development-series/ENCSR111KSL/	ENCBS406RIE,ENCBS022IBY	1,2	1	ENCAB610CEF	Mus musculus	embryonic	12.5 days												/replicates/55d082a4-12ad-4b3f-b339-33f967717ec6/,/replicates/a793f06b-fc37-4be9-b756-051ac00404ba/				
/experiments/ENCSR157IVC/	ENCSR157IVC	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me1-mouse/	H3K4me1	Hist1h3d,Hist1h3b,Hist2h3c2,Hist2h3c1,Hist1h3e,Hist1h3f,Hist2h3b,Hist1h3c	Mus musculus strain B6NCrl midbrain tissue embryo (12.5 days)	midbrain	GEO:GSE82473	H3K4me1 ChIP-seq on embryonic 12.5 day mouse midbrain	Bing Ren, UCSD	ENCODE	released	/files/ENCFF945MPF/,/files/ENCFF031YMD/,/files/ENCFF201GUW/,/files/ENCFF842HEF/,/files/ENCFF982QFO/,/files/ENCFF506FVA/,/files/ENCFF464ZJP/,/files/ENCFF098ZOP/,/files/ENCFF684QDU/,/files/ENCFF240EYN/,/files/ENCFF608SEM/,/files/ENCFF999CTH/,/files/ENCFF655YZJ/,/files/ENCFF914MDK/,/files/ENCFF434YEY/,/files/ENCFF802NJL/,/files/ENCFF882QFF/,/files/ENCFF476VZR/,/files/ENCFF320GWK/,/files/ENCFF036MRS/,/files/ENCFF468WHG/,/files/ENCFF563JOE/,/files/ENCFF579VSI/,/files/ENCFF237WQW/,/files/ENCFF087DLK/,/files/ENCFF955WFN/,/files/ENCFF659ZAM/,/files/ENCFF141OZB/,/files/ENCFF923ZCQ/,/files/ENCFF847KGC/,/files/ENCFF412MZQ/,/files/ENCFF320CPW/,/files/ENCFF321RNC/,/files/ENCFF450IIR/,/files/ENCFF980ELU/,/files/ENCFF580XCS/,/files/ENCFF735JZH/,/files/ENCFF235MXD/,/files/ENCFF368NLD/,/files/ENCFF348CJA/,/files/ENCFF835YZQ/,/files/ENCFF898GWN/,/files/ENCFF685NIX/,/files/ENCFF334WIC/,/files/ENCFF388SDX/,/files/ENCFF435TSK/,/files/ENCFF143LPN/,/files/ENCFF994XNI/,/files/ENCFF163HCP/,/files/ENCFF114ZNE/,/files/ENCFF618XEX/,/files/ENCFF482JBY/,/files/ENCFF615USX/,/files/ENCFF773JLH/	/reference-epigenomes/ENCSR553AAA/,/organism-development-series/ENCSR293CIT/	ENCBS309WCU,ENCBS280TPA	1,2	1	ENCAB027VOE	Mus musculus	embryonic	12.5 days												/replicates/0d6dd441-c45b-4f6d-a81a-ffa310d12728/,/replicates/04f4e346-47b4-4268-a155-cffb96af2488/				
