REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	7wk_CTX_MECP2KO_Mecp2_CNR_HS031219_N031419.final.sort.final.bam
14_Peak45317_lociStitched	chr3	148946232	149020190	14	11473	25160.5116	7070.3848
11_Peak4616_lociStitched	chr1	160561214	160629985	11	8453	20638.1771	8190.6261
13_Peak59829_lociStitched	chr7	115966154	116029734	13	16605	31325.866	5671.336
13_Peak46476_lociStitched	chr4	28862198	28920469	13	11015	23506.5214	6637.0669
6_Peak63963_lociStitched	chr8	127174393	127227753	6	4131	14417.872	4855.76
7_Peak22004_lociStitched	chr14	93534905	93587897	7	4762	17142.912	6576.3072
9_Peak36586_lociStitched	chr2	42621821	42672019	9	8188	18287.1314	4919.404
8_Peak5828_lociStitched	chr1	193332590	193382025	8	4298	11197.0275	4918.7825
11_Peak43496_lociStitched	chr3	86525304	86574269	11	10536	20379.233	4225.6795
8_Peak15778_lociStitched	chr12	100568611	100616945	8	5164	13528.6866	4760.899
7_Peak55052_lociStitched	chr6	54368100	54413391	7	4042	9656.0412	3505.5234
12_Peak52897_lociStitched	chr5	131783176	131827664	12	8013	20700.2664	5031.5928
7_Peak4686_lociStitched	chr1	162293888	162336980	7	4062	15000.3252	4636.6992
5_Peak45362_lociStitched	chr3	149340586	149382389	5	3466	10358.7834	3728.8276
6_Peak65265_lociStitched	chr9	47698895	47739827	6	5006	13769.5248	5317.0668
6_Peak33258_lociStitched	chr18	71348174	71388920	6	4261	11694.102	3540.8274
6_Peak40170_lociStitched	chr2	141228276	141268881	6	4194	7690.587	3402.699
8_Peak22038_lociStitched	chr14	93858651	93899066	8	8956	18991.0085	6118.831
10_Peak35921_lociStitched	chr2	18024330	18064034	10	13489	23965.3344	4597.7232
6_Peak56729_lociStitched	chr6	108417470	108456724	6	3199	13181.4932	5436.679
5_Peak32942_lociStitched	chr18	62168520	62207014	5	3905	11286.4408	3502.954
6_Peak16661_lociStitched	chr13	23533459	23571530	6	2988	7115.4699	6102.7813
7_Peak51097_lociStitched	chr5	57841155	57878918	7	5392	13889.2314	5196.1888
5_Peak66012_lociStitched	chr9	68855370	68893091	5	3743	13911.5048	3594.8113
5_Peak45456_lociStitched	chr3	152724454	152761668	5	3563	9002.0666	3044.1052
10_Peak46459_lociStitched	chr4	28808648	28845718	10	9021	18056.797	4741.253
5_Peak25023_lociStitched	chr15	65771612	65808605	5	2709	9814.2429	4331.8803
6_Peak25835_lociStitched	chr15	94945281	94982251	6	3142	10177.841	3327.3
9_Peak2633_lociStitched	chr1	95637512	95673897	9	7442	13658.929	3747.655
5_Peak51122_lociStitched	chr5	58063471	58099244	5	4777	12116.3151	3766.8969
4_Peak55291_lociStitched	chr6	63250979	63286587	4	3466	10664.596	3418.368
11_Peak16924_lociStitched	chr13	32208038	32243575	11	11031	18941.221	3283.6188
4_Peak51254_lociStitched	chr5	64241250	64275423	4	1992	6687.6561	2576.6442
5_Peak43990_lociStitched	chr3	108759718	108793864	5	2719	6883.8336	2984.3604
5_Peak62339_lociStitched	chr8	64624412	64658478	5	3994	9589.579	5293.8564
6_Peak48287_lociStitched	chr4	97773117	97806952	6	4168	10556.52	4452.686
5_Peak24200_lociStitched	chr15	39840488	39874166	5	2664	8419.5	3064.698
6_Peak48133_lociStitched	chr4	91349513	91383082	6	4665	11641.7292	3293.1189
6_Peak52416_lociStitched	chr5	110910752	110944152	6	4590	8897.76	2795.58
8_Peak30202_lociStitched	chr17	63270439	63303647	8	7875	13060.7064	3965.0352
5_Peak5665_lociStitched	chr1	189023304	189055442	5	2490	10589.471	3146.3102
4_Peak43146_lociStitched	chr3	79218410	79250386	4	2745	8326.5504	3779.5632
4_Peak40117_lociStitched	chr2	140652938	140684391	4	2163	10747.4901	3985.0951
4_Peak44024_lociStitched	chr3	109575246	109606609	4	2456	7144.4914	3346.4321
6_Peak40405_lociStitched	chr2	146325713	146357006	6	3726	10070.0874	2760.0426
4_Peak19278_lociStitched	chr13	110673574	110704726	4	2172	8298.8928	3127.6608
6_Peak14219_lociStitched	chr12	49944826	49975279	6	3840	13368.867	4248.1935
5_Peak47938_lociStitched	chr4	85801887	85832238	5	3018	8923.194	2467.5363
5_Peak7465_lociStitched	chr10	58362684	58392864	5	2747	10330.614	4176.912
4_Peak40032_lociStitched	chr2	138809876	138839969	4	2843	8221.4076	2994.2535
5_Peak26527_lociStitched	chr16	24520944	24550932	5	4038	8864.4528	2569.9716
4_Peak40042_lociStitched	chr2	139102713	139132563	4	1992	7432.65	2265.615
4_Peak8045_lociStitched	chr10	83038091	83067769	4	1992	6891.2316	2178.3652
4_Peak47678_lociStitched	chr4	80737039	80766178	4	2446	6101.7066	2922.6417
7_Peak38709_lociStitched	chr2	102620664	102649740	7	3785	8801.3052	3832.2168
4_Peak62255_lociStitched	chr8	61236775	61265800	4	2438	6655.4325	2249.4375
4_Peak34667_lociStitched	chr19	33223757	33252780	4	3134	8286.0665	2919.7138
5_Peak39842_lociStitched	chr2	135660028	135689030	5	3220	8880.4124	2659.4834
7_Peak32626_lociStitched	chr18	54972722	55001606	7	6011	12662.7456	3838.6836
9_Peak33685_lociStitched	chr18	84523853	84552683	9	8608	15790.191	2516.859
4_Peak63329_lociStitched	chr8	101762777	101791576	4	2242	5946.9935	2848.2211
4_Peak21011_lociStitched	chr14	63571268	63600036	4	2379	7554.4768	2390.6208
5_Peak47721_lociStitched	chr4	81550584	81579278	5	3754	10938.1528	2929.6574
5_Peak42934_lociStitched	chr3	69481752	69510155	5	3435	7597.8025	2752.2507
5_Peak45772_lociStitched	chr4	6762612	6791015	5	3535	10077.3844	3081.7255
5_Peak10245_lociStitched	chr11	25835257	25863527	5	3461	11356.059	4099.15
5_Peak21973_lociStitched	chr14	93379907	93408123	5	5188	11692.7104	3081.1872
5_Peak56125_lociStitched	chr6	94672430	94700641	5	3662	9092.4053	3041.1458
5_Peak47992_lociStitched	chr4	87035512	87063291	5	2490	7844.7896	3152.9165
4_Peak64564_lociStitched	chr9	27176158	27203605	4	2308	8168.2272	2607.465
4_Peak29068_lociStitched	chr17	5260963	5288009	4	1992	6661.4298	2934.491
