#MECP2WT Enhancers
#Created from /work/OBI/Neuroinformatics_Core/s225347/Mecp2_project/results/MECP2_SE/MECP2WT_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam
#Using cutoff of 2917.0491 for Super-Enhancers
#Created on Sep 28 2023 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	X7wk_CTX_MECP2KO_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	enhancerRank	isSuper
13_Peak59829_lociStitched	chr7	115966154	116029734	13	16605	31325.866	5671.336	1	1
10_Peak35921_lociStitched	chr2	18024330	18064034	10	13489	23965.3344	4597.7232	2	1
14_Peak45317_lociStitched	chr3	148946232	149020190	14	11473	25160.5116	7070.3848	3	1
13_Peak46476_lociStitched	chr4	28862198	28920469	13	11015	23506.5214	6637.0669	4	1
11_Peak43496_lociStitched	chr3	86525304	86574269	11	10536	20379.233	4225.6795	5	1
12_Peak52897_lociStitched	chr5	131783176	131827664	12	8013	20700.2664	5031.5928	6	1
11_Peak16924_lociStitched	chr13	32208038	32243575	11	11031	18941.221	3283.6188	7	1
5_Peak36329_lociStitched	chr2	34358214	34370358	5	8031	15954.7872	1425.7056	8	1
10_Peak53738_lociStitched	chr6	15176145	15203082	10	14192	17021.4903	3108.5298	9	1
9_Peak36586_lociStitched	chr2	42621821	42672019	9	8188	18287.1314	4919.404	10	1
10_Peak46459_lociStitched	chr4	28808648	28845718	10	9021	18056.797	4741.253	11	1
9_Peak33685_lociStitched	chr18	84523853	84552683	9	8608	15790.191	2516.859	12	1
8_Peak22038_lociStitched	chr14	93858651	93899066	8	8956	18991.0085	6118.831	13	1
11_Peak4616_lociStitched	chr1	160561214	160629985	11	8453	20638.1771	8190.6261	14	1
6_Peak14152_lociStitched	chr12	46792352	46817530	6	8591	14530.2238	2648.7256	15	1
9_Peak3993_lociStitched	chr1	146500772	146527326	9	7456	14004.5796	2727.0958	16	1
10_Peak24558_lociStitched	chr15	50870020	50894575	10	9643	13961.973	2801.7255	17	1
6_Peak49572_lociStitched	chr4_GL456216_random	16917	32762	6	7042	13433.391	2349.8135	18	1
7_Peak22004_lociStitched	chr14	93534905	93587897	7	4762	17142.912	6576.3072	19	1
6_Peak4121_lociStitched	chr1	149856615	149876921	6	4313	13562.3774	3003.2574	20	1
8_Peak21715_lociStitched	chr14	84453129	84470110	8	7385	12774.8063	2241.492	21	1
